file,specimen_id,common_name,scientific_name,genus,family,order,class,location,source
Adhaerobufo_cf_nasicus.jpg,,,Adhaerobufo cf. nasicus,Adhaerobufo,Bufonidae,Anura,Amphibia,,claude-verify
Adhaerobufo_cf_nasicus_dorsal.jpg,,,Adhaerobufo cf. nasicus,Adhaerobufo,Bufonidae,Anura,Amphibia,,claude-verify
Amietia_fuscigula_Eastern_Cape_South_Africa_2023.jpg,,Cape river frog,Amietia fuscigula,Amietia,Pyxicephalidae,Anura,Amphibia,Eastern Cape South Africa 2023,claude-verify
Amietia_fuscigula_JRP_1.jpg,,Cape river frog,Amietia fuscigula,Amietia,Pyxicephalidae,Anura,Amphibia,,claude-verify
Amietia_fuscigula_JRP_2.jpg,,Cape river frog,Amietia fuscigula,Amietia,Pyxicephalidae,Anura,Amphibia,,claude-verify
Amietia_fuscigula_JRP_3.jpg,,Cape river frog,Amietia fuscigula,Amietia,Pyxicephalidae,Anura,Amphibia,,claude-verify
Ascaphus.jpg,,Tailed frog,Ascaphus truei,Ascaphus,Ascaphidae,Anura,Amphibia,,claude-verify
Ascaphus_truei_tadpole_Oregon_26-2.jpg,,Coastal tailed frog,Ascaphus truei,Ascaphus,Ascaphidae,Anura,Amphibia,Oregon,claude-verify
Cardioglossa.jpg,,Long-fingered frog,Cardioglossa sp,Cardioglossa,Arthroleptidae,Anura,Amphibia,,claude-verify
Cardioglossa_sp_MCZ_A139946_dorsal.jpg,MCZ A139946,Long-fingered frog,Cardioglossa,Cardioglossa,Arthroleptidae,Anura,Amphibia,,claude-verify
Cardioglossa_sp_MCZ_A139946_ventral.jpg,MCZ A139946,Long-fingered frog,Cardioglossa,Cardioglossa,Arthroleptidae,Anura,Amphibia,,claude-verify
Chacophrys.jpg,,,Chacophrys pierottii,Chacophrys,Ceratophryidae,Anura,Amphibia,,
Conraua_robusta_1.jpg,,Cameroon slippery frog,Conraua robusta,Conraua,Conrauidae,Anura,Amphibia,,claude-verify
Conraua_robusta_2.jpg,,Cameroon slippery frog,Conraua robusta,Conraua,Conrauidae,Anura,Amphibia,,claude-verify
Crinia.jpg,,,Crinia signifera,Crinia,Myobatrachidae,Anura,Amphibia,,
Gastrophryne_carolinensis_KU_spec_1.jpg,,Eastern narrow-mouthed toad,Gastrophryne carolinensis,Gastrophryne,Microhylidae,Anura,Amphibia,,claude-verify
Gastrophryne_carolinensis_KU_spec_2.jpg,,Eastern narrow-mouthed toad,Gastrophryne carolinensis,Gastrophryne,Microhylidae,Anura,Amphibia,,claude-verify
Gastrophryne_carolinensis_KU_spec_3.jpg,,Eastern narrow-mouthed toad,Gastrophryne carolinensis,Gastrophryne,Microhylidae,Anura,Amphibia,,claude-verify
Hadromophryne_natalensis_Woodbush_forest_Limpopo_South_Africa_2023.jpg,,,Hadromophryne natalensis,Hadromophryne,Heleophrynidae,Anura,Amphibia,Woodbush forest Limpopo South Africa 2023,carried over
Heleophryne_purcelli.jpg,,,Heleophryne purcelli,Heleophryne,Heleophrynidae,Anura,Amphibia,,
Heleophryne_regis.jpg,,,Heleophryne regis,Heleophryne,Heleophrynidae,Anura,Amphibia,,carried over
Heleophryne_regis_JRP_2.jpg,,,Heleophryne regis,Heleophryne,Heleophrynidae,Anura,Amphibia,,carried over
Heleophryne_regis_JRP_3.jpg,,,Heleophryne regis,Heleophryne,Heleophrynidae,Anura,Amphibia,,carried over
Heleophryne_regis_tadpole_side.jpg,,,Heleophryne regis,Heleophryne,Heleophrynidae,Anura,Amphibia,,
Hemisus_marmoratus_tadpole_side.jpg,,,Hemisus marmoratus,Hemisus,Hemisotidae,Anura,Amphibia,,
Hemisus_marmoratus_tadpole_side_KZN.jpg,,,Hemisus marmoratus,Hemisus,Hemisotidae,Anura,Amphibia,KZN,
Huia_cavitympanum.jpg,,,Huia cavitympanum,Huia,Ranidae,Anura,Amphibia,,carried over
Isthmohyla_tica.jpg,,,Isthmohyla tica,Isthmohyla,Hylidae,Anura,Amphibia,,
Kassina_senegalensis_tadpole_side.jpg,,,Kassina senegalensis,Kassina,Hyperoliidae,Anura,Amphibia,,
Leptobrachella_pelodytoides.jpg,,,Leptobrachella pelodytoides,Leptobrachella,Megophryidae,Anura,Amphibia,,
Leptodactylodon_sp_A139563_dorsal.jpg,A139563,,Leptodactylodon,Leptodactylodon,Arthroleptidae,Anura,Amphibia,,claude-verify
Leptodactylodon_sp_A139563_side.jpg,A139563,,Leptodactylodon,Leptodactylodon,Arthroleptidae,Anura,Amphibia,,claude-verify
Leptopelis_natalensis_tadpole_side.jpg,,,Leptopelis natalensis,Leptopelis,Arthroleptidae,Anura,Amphibia,,
