file,common_name,species,location
Agalychnis_callidryas_Sierpe_3_CR_26.jpg,,Agalychnis callidryas,Sierpe CR
Ambystoma_maculatum_NY_2025_4.jpg,,Ambystoma maculatum,NY 2025
Anaxyrus_americanus_CT_2020.jpg,,Anaxyrus americanus,CT 2020
Atelopus_varius_Orko_Bata_1_CR_26.jpg,,Atelopus varius,Orko Bata CR
Atelopus_varius_Orko_Bata_2_CR_26.jpg,,Atelopus varius,Orko Bata CR
Dendrobates_aureus_Orko_Bata_1_CR_26.jpg,,Dendrobates aureus,Orko Bata CR
Dendropsophus_ebraccatus_Sierpe_1_CR_26.jpg,,Dendropsophus ebraccatus,Sierpe CR
Ensatina_eschscholtzii_oregonensis_CA_2024_2.jpg,,Ensatina eschscholtzii,oregonensis CA 2024
Espadarana_prosoblepon_Orko_Bata_2_CR_26.jpg,,Espadarana prosoblepon,Orko Bata CR
Gyrinophilus_porphyriticus_Ithaca_2025.jpg,,Gyrinophilus porphyriticus,Ithaca 2025
Hadromophryne_natalensis_LIMP_2023.jpg,,Hadromophryne natalensis,LIMP 2023
Hemisus_marmoratus_LIMP_2023.jpg,,Hemisus marmoratus,LIMP 2023
Hyperolius_pusillus_Eastern_Cape_South_Africa_2022.jpg,,Hyperolius pusillus,Eastern Cape South Africa 2022
Kassina_senegalensis_KwaZulu_Natal_South_Africa_2023.jpg,,Kassina senegalensis,KwaZulu Natal South Africa 2023
Leptopelis_natalensis_KZN_2022_2.jpg,,Leptopelis natalensis,KZN 2022
Oophaga_granulifera_Sierpe_2_CR_26.jpg,,Oophaga granulifera,Sierpe CR
Oophaga_granulifera_Sierpe_3_CR_26.jpg,,Oophaga granulifera,Sierpe CR
Oophaga_granulifera_Sierpe_4_CR_26.jpg,,Oophaga granulifera,Sierpe CR
Pelobatrachus_nasutus_Sabah_Malaysia_2024.jpg,,Pelobatrachus nasutus,Sabah Malaysia 2024
Pelophryne_minuta_Borneohighlands_2024_1.jpg,,Pelophryne minuta,Borneohighlands 2024
Phyllobates_vittatus_Sierpe_1_CR_26.jpg,,Phyllobates vittatus,Sierpe CR
Phyllobates_vittatus_Sierpe_2_CR_26.jpg,,Phyllobates vittatus,Sierpe CR
Pristimantis_cruentus_stack_cloudbridge_CR_26.jpg,,Pristimantis cruentus,stack cloudbridge CR
QB7A6177.jpg,,,
Rana_klauberi_lilypad.jpg,,Rana klauberi,
Scinax_boulengeri_Sierpe_1_CR_26.jpg,,Scinax boulengeri,Sierpe CR
Staurois_latopalmatus_Sayap_Borneo_2024.jpg,,Staurois latopalmatus,Sayap Borneo 2024
Teratohyla_pulverata_Sierpe_1_CR_26.jpg,,Teratohyla pulverata,Sierpe CR
Tlalcohyla_picta_Belize_2025.jpg,,Tlalcohyla picta,Belize 2025
