file,common_name,species,location
Bay_breasted_warbler.jpg,Bay-breasted warbler,Setophaga castanea,
Chestnut_mandibled_toucan_1_Cloudbridge_CR_26.jpg,Chestnut-mandibled toucan,Ramphastos ambiguus,"Cloudbridge, Costa Rica"
Green_honeycreeper_2_Cloudbridge_CR_26.jpg,Green honeycreeper,Chlorophanes spiza,"Cloudbridge, Costa Rica"
Lesser_violet_ear_savegre_1_CR_26.jpg,Lesser violetear,Colibri cyanotus,"Savegre, Costa Rica"
Lessons_motmot_1_Cloudbridge_CR_26.jpg,Lesson's motmot,Momotus lessonii,"Cloudbridge, Costa Rica"
Palm_tanager_1_Cloudbridge_CR_26.jpg,Palm tanager,Thraupis palmarum,"Cloudbridge, Costa Rica"
QB7A0514.jpg,,,
QB7A0801.jpg,,,
QB7A1488.jpg,,,
QB7A1821-Enhanced-NR.jpg,,,
QB7A3734-Enhanced-NR.jpg,,,
QB7A5105-Enhanced-NR.jpg,,,
QB7A8359.jpg,,,
QB7A8432.jpg,,,
QB7A8449.jpg,,,
Resplendent_Quetzal_savegre_1_CR_26.jpg,Resplendent quetzal,Pharomachrus mocinno,"Savegre, Costa Rica"
Resplendent_Quetzal_savegre_2_CR_26.jpg,Resplendent quetzal,Pharomachrus mocinno,"Savegre, Costa Rica"
Snow_bellied_hummingbird_Cloudbridge_CR_26.jpg,Snowy-bellied hummingbird,Saucerottia edward,"Cloudbridge, Costa Rica"
Speckled_tanager_1_Cloudbridge_CR_26.jpg,Speckled tanager,Ixothraupis guttata,"Cloudbridge, Costa Rica"
Speckled_tanager_2_Cloudbridge_CR_26.jpg,Speckled tanager,Ixothraupis guttata,"Cloudbridge, Costa Rica"
Yellow.jpg,,,
